gene_info	entrezs	Tulip14	Tulip27	Tulip04	Tulip01	Tulip13	Tulip20	Tulip24	Tulip25	Tulip28	Tulip09	Tulip03	Tulip17	Tulip06	Tulip05	Tulip11	Tulip07	Tulip22
ITIH3	3699	0.299	-0.44	0.093	0.366	-0.309	-0.38	0.025	-0.114	-0.107	-0.234	-0.403	-0.351	-0.263	0.54	0.284	0.829	0.165
ITIH4	3700	0.406	-0.295	0.166	0.32	0.428	-0.102	0.083	-0.188	-0.34	-0.301	-0.177	0.315	-0.278	0.126	-0.106	0.125	-0.18
ITLN1	55600	0.582	0.386	1.088	-0.05	-0.767	-0.035	0.616	0.509	-0.67	-0.48	-0.797	-0.48	-0.014	-0.286	0.028	0.828	-0.458
IVL	3713	0.692	-0.525	-0.21	-0.765	-0.235	0.045	-0.33	-0.284	-0.105	-0.692	0.866	0.855	-0.126	0.395	0.396	1.033	-1.009
JUP	3728	-0.488	-0.184	0.318	0.15	-0.309	-0.458	0.606	-0.614	-0.135	0.097	0.552	0.845	0.737	-1.209	0.455	-0.417	0.051
KCTD12	115207	0.456	-0.05	0.122	-0.085	-0.026	0.087	-0.307	0.031	-0.598	-0.303	0.038	0.604	-0.272	0.031	-0.245	0.634	-0.116
KDR	3791	0.325	0.687	-0.431	-0.678	0.389	0.729	0.322	0.149	-0.766	-0.059	-0.058	-0.823	1.152	0.031	-0.807	-0.291	0.128
KIAA0319L	79932	0.203	0.088	0.161	0.028	-0.01	-0.221	0.185	-0.342	-0.111	0.056	0.258	0.54	0.308	-0.573	-0.266	0.012	-0.316
KIF2A	3796	-0.206	0.355	0.065	-0.077	0.018	-0.065	-0.128	-0.204	0.235	-0.086	0.25	0.192	0.099	-0.447	0.161	-0.171	0.011
KIT	3815	-0.014	0.33	-0.023	-0.599	0.239	-0.447	-0.368	-0.182	0.03	-0.407	0.532	0.267	0.195	0.127	0.286	0.243	-0.208
KLK6	5653	0.153	-0.131	0.182	0.086	-0.087	0.27	-0.311	-0.074	-0.035	-0.465	0.004	0.588	0.234	-0.109	-0.385	0.321	-0.241
KLKB1	3818	0.444	0.593	-0.832	0.631	-0.515	0.182	0.512	0.035	-0.48	-0.224	-1.17	0.346	-0.056	-0.055	0.215	-0.177	0.551
KNG1	3827	0.606	0.093	-0.213	0.088	-0.102	-0.236	0.428	-0.324	0.587	-0.534	0.66	-0.313	0.134	-0.498	-0.135	-0.329	0.088
KRT1	3848	-1.017	-0.37	0.332	0.252	0.119	-0.697	0.464	-0.639	-0.486	0.731	0.713	0.969	1.018	-0.926	-0.069	-0.488	0.094
KRT10	3858	-1.464	0.208	-0.443	-0.189	0.507	-1.142	0.477	-0.181	-0.352	0.541	0.363	0.275	1.139	-0.493	0.348	-0.506	0.911
KRT13	3860	-0.556	2.941	-0.282	-0.516	-0.455	-0.639	-0.904	-0.708	-0.364	-1.198	1.749	-0.217	0.225	-0.63	-0.634	-0.055	2.243
KRT14	3861	-0.543	0.149	-0.126	-0.629	-0.212	-0.949	1.161	-0.294	-0.491	1.526	0.415	0.764	0.438	-0.926	-0.085	0.225	-0.423
KRT16	3868	-1.273	1.308	0.563	-1.464	-1.538	-1.541	1.13	-0.102	-1.428	2.27	0.772	2.107	0.124	-0.471	-0.622	1.514	-1.35
KRT17	3872	-0.802	0.297	0.602	-0.579	-0.658	-1.002	0.487	-0.688	-0.735	0.951	0.881	0.822	0.869	-0.358	-0.512	1.044	-0.618
KRT2	3849	-0.929	0.305	-0.419	0.003	0.059	-1.063	0.207	-0.314	-0.24	0.009	0.386	0.262	1.773	-0.412	0.303	-0.789	0.857
KRT33B	3884	0.155	0.02	0.256	-0.308	-0.44	0.035	0.253	1.02	-0.114	-0.845	0.275	0.119	0.022	0.551	-0.625	-0.494	0.119
KRT5	3852	-0.952	-0.247	-0.199	0.066	0.321	-1.007	0.765	-0.355	-0.535	0.997	0.338	0.776	0.982	-0.827	-0.18	-0.273	0.33
KRT6A	3853	-1.209	0.531	0.6	-0.966	-1.185	-1.083	1.321	-0.275	-1.395	1.452	0.545	1.335	0.15	0.229	-0.395	0.578	-0.233
KRT6B	3854	-0.801	0.368	0.898	-1.319	-1.258	-2.081	1.104	-0.112	-1.354	2.148	0.74	2.22	0.517	-1.026	-0.504	1.161	-0.7
KRT77	374454	-0.305	0.115	-0.383	-0.394	2.126	-0.464	-0.69	-0.424	-0.135	0.071	0.373	-0.018	0.677	-0.451	-0.131	-0.339	0.371
KRT78	196374	-0.544	0.041	0.026	0.086	0.197	-0.477	-0.073	-0.378	-0.168	0.181	0.667	0.417	0.835	-0.712	0.132	-0.397	0.168
KRT8	3856	0.699	0.737	0.454	0.056	0.291	0.844	0.382	-0.333	-0.256	-0.644	-0.162	-0.032	-0.051	-0.527	-0.745	-0.102	-0.609
KRT80	144501	-0.735	-0.198	-0.581	0.871	0.541	-0.768	0.049	-0.505	-0.19	0.146	0.615	0.472	0.753	-0.069	0.323	-0.62	-0.104
KRT83	3889	0.026	0.06	0.164	-0.095	0.274	-0.006	0.121	-0.252	0.245	-0.201	0.524	-0.27	0.586	-0.248	-0.042	-0.653	-0.232
KRT9	3857	-0.759	-0.627	0.719	0.677	-0.248	-0.467	0.413	-0.818	-0.268	0.713	0.895	1.273	1.084	-1.11	-0.507	-0.798	-0.172
L1CAM	3897	-0.055	-0.29	0.026	-0.396	-0.085	-0.336	-0.087	0.077	-0.081	-0.678	0.51	-0.037	-0.059	0.274	0.391	0.899	-0.074
LAMA2	3908	0.304	0.281	0.04	-0.277	-0.276	0.152	0.11	-0.047	-0.234	-0.1	0.043	0.218	0.123	-0.131	0.046	0.186	-0.437
LAMA3	3909	0.317	0.114	-0.212	-0.405	-0.236	-0.367	-0.18	-0.142	-0.146	-0.074	0.396	0.218	0.492	0.173	0.016	0.318	-0.28
LAMB1	3912	0.35	0.047	-0.19	-0.163	0.023	0.065	-0.29	-0.035	-0.2	-0.233	0.086	0.416	0.305	-0.008	0.035	-0.086	-0.12
LAMB2	3913	0.334	-0.05	0.046	-0.02	-0.097	-0.17	0.249	-0.235	-0.19	-0.293	0.164	0.103	0.196	-0.02	-0.075	0.327	-0.267
LAMC1	3915	0.24	0.023	0.236	0.044	0.075	0.278	0.352	-0.127	-0.271	-0.088	0.053	-0.03	0.143	0.068	-0.413	-0.105	-0.477
LAMP1	3916	0.256	0.524	0.157	-0.028	-0.055	0.193	0.015	-0.115	-0.403	-0.289	0.336	0.004	0.531	-0.478	-0.303	-0.516	0.171
LAMP2	3920	-0.173	0.783	-0.158	0.254	-0.407	0.333	0.118	0.076	0.001	-0.163	0.418	-0.595	0.48	-0.434	0.042	-0.331	-0.243
LAP3	51056	-0.6	0.218	-0.071	0.491	-0.025	0.181	0.069	-0.064	0.429	0.698	-0.095	-0.466	-0.003	0.181	-0.068	-1.011	0.136
LASP1	3927	-1.17	-0.543	-0.842	1.33	0.282	0.51	-0.296	0.107	0.985	1.278	-0.499	-0.508	0.022	-0.211	0.372	-0.783	-0.034
LBP	3929	0.449	0.006	0.253	0.157	0.205	-0.183	0.261	-0.014	-0.426	0.261	-0.342	0.373	-0.846	-0.571	-0.314	0.562	0.17
LCAT	3931	0.428	-0.029	-0.122	-0.124	-0.108	-0.513	0.793	-0.121	-0.686	-0.211	-0.227	0.225	-0.111	0.009	0.347	0.596	-0.145
LCN1	3933	-0.019	-0.467	-0.334	0.018	0.069	-0.43	-0.766	0.083	-0.198	-0.614	0.696	1.189	1.055	-0.08	-0.356	-0.707	0.862
LCN2	3934	0.173	-0.575	0.475	0.345	-0.283	-0.432	0.019	0.218	-0.056	-0.391	0.534	0.555	-0.389	-0.333	-0.276	0.332	0.082
LCP1	3936	0.81	0.168	0.514	-0.583	0.222	-0.223	-0.104	-0.343	-0.109	-0.396	0.077	0.496	-0.663	-0.177	0.153	0.51	-0.352
LCP2	3937	-1.449	-0.355	-0.615	0.92	0.214	0.769	-0.454	-0.11	1.02	1.608	-0.422	-0.563	0.091	-0.407	0.058	-0.422	0.116
LDHA	3939	-0.097	-0.048	-0.068	0.688	0.111	0.202	-0.175	-0.082	0.265	0.465	-0.302	0.263	-0.714	0.006	-0.193	-0.315	-0.005
LDHB	3945	-0.328	-0.061	0.054	0.3	0.141	-0.07	-0.324	-0.163	0.15	0.136	-0.214	0.318	-0.645	0.456	0.059	0.187	0.002
LDLR	3949	0.814	0.084	1.076	-0.033	0.219	0.707	0.471	0.622	-0.65	-0.649	-0.414	-0.398	0.023	0.072	-0.588	-1.112	-0.243
LECT2	3950	0.384	-0.132	0.594	-0.068	0.365	0.177	-0.072	0.06	0.145	-0.568	0.387	0.17	-0.427	-0.159	-0.395	0.138	-0.598
LENG8	114823	0.421	0.887	-1.052	-1.256	0.062	-0.378	-0.9	0.138	-0.116	0.414	0.479	0.315	0.491	0.031	0.108	-0.031	0.388
LEP	3952	1.194	0.196	0.628	0.809	0.798	0.632	0.226	0.381	-0.499	-0.984	-0.174	-0.219	-0.077	-0.866	-0.672	-0.845	-0.528
LGALS1	3956	0.267	-0.026	0.259	0.023	0.07	0.051	-0.382	0.348	0.022	0.035	-0.077	0.353	0.254	-0.472	-0.259	0.036	-0.502
LGALS3BP	3959	0.42	0.344	0.782	-0.029	0.554	1.04	0.681	-0.33	-0.932	0.138	-0.794	-0.3	0.839	-0.262	-0.581	-0.598	-0.971
LGALS7	3963	-0.666	0.113	0.118	-0.429	-0.326	-0.268	0.291	-0.243	0.166	0.582	0.142	0.45	0.71	-0.961	0.239	-0.101	0.184
LGALSL	29094	-2.216	-0.838	-1.039	1.488	0.321	0.679	0.294	0.353	0.907	1.129	-0.806	-0.399	-0.382	-0.252	0.799	-0.472	0.434
LILRA1	11024	0.975	1.472	0.854	0.506	0.377	0.13	-1.871	0.361	-0.364	-0.572	-2.211	0.123	1.385	-2.286	-0.092	1.01	0.205
LILRA2	11027	0.023	0.612	-0.276	-0.058	-0.126	0.889	0.339	0.509	0.237	-0.787	0.736	0.48	0.935	0.055	-0.438	0.196	-3.326
LILRA3	11026	0.861	1.48	0.818	0.612	0.554	0.309	-2.466	0.19	-0.672	-0.449	-1.906	0.391	1.368	-1.944	-0.356	1.286	-0.075
LILRB1	10859	-0.196	0.998	-0.032	-0.554	-0.181	-0.535	0.079	0.181	-0.203	0.277	0.392	-1.129	0.778	-0.297	-0.018	0.361	0.079
LILRB5	10990	0.479	-0.465	0.268	-0.117	0.082	0.334	-0.167	0.551	-1.037	-0.424	0.362	-0.176	-0.198	-0.186	0.359	0.412	-0.077
LIMS1	3987	-1.974	-0.785	-0.765	1.265	-0.088	0.748	0.144	0.274	0.941	1.427	-0.515	-0.114	-0.616	0.001	0.153	-0.179	0.083
LIPC	3990	0.109	0.02	0.142	-0.143	-0.285	0.173	0.304	-0.009	0.173	-0.267	0.124	0.354	-0.387	0.007	0.315	0.198	-0.828
LIPG	9388	0.857	-0.015	-0.328	0.033	0.163	0.079	0.533	-0.254	0.157	-0.54	-0.276	-0.156	0.195	0.113	-0.13	0.074	-0.505
LMAN1	3998	0.027	1.866	0.106	-0.274	-0.395	-0.36	0.133	-0.801	-0.148	-0.545	0.87	1.054	-0.326	-0.38	0.153	-0.487	-0.491
LMAN2	10960	-0.047	-0.213	0.519	0.021	-0.292	0.142	-0.094	0.125	0.06	-0.122	0.002	0.604	-0.086	-0.454	-0.044	0.202	-0.321
LMNA	4000	0.455	-0.054	0.408	-0.172	0.28	-0.023	-0.125	0.095	-0.058	-0.094	0.155	-0.283	0.482	-0.782	-0.256	0.052	-0.079
LMNB1	4001	0.534	0.271	0.131	0.132	0.181	-0.049	-0.314	-0.318	-0.175	-0.412	0.24	0.003	0.374	-0.281	-0.238	0.114	-0.191
LOX	4015	0.455	-0.208	-0.043	0.393	-0.184	-0.047	-0.399	0.068	0.062	-0.215	-0.024	0.238	0.655	-0.327	-0.113	-0.453	0.143
LOXL1	4016	0.31	-0.052	-0.235	0.107	-0.011	-0.302	-0.405	-0.048	0.026	-0.176	0.585	0.633	0.476	0.079	-0.155	-0.485	-0.348
LPA	4018	-0.875	0.074	-0.708	-1.241	-1.119	2.691	-1.468	0.262	-1.118	1.365	-0.731	1.218	-0.339	1.738	-0.179	0.285	0.145
LRBA	987	0.757	-0.392	0.647	-0.007	-0.193	0.201	0.334	0.672	0.011	-0.586	-0.093	0.044	-0.713	0.262	-0.591	-0.483	0.13
LRG1	116844	0.583	-0.048	-0.243	0.005	0.175	-0.055	-0.294	-0.486	0.032	1.219	-0.707	0.162	0.273	-0.247	-0.401	0.33	-0.301
LRMP	4033	0.66	0.289	-0.132	-0.049	0.174	-0.263	0.187	0.359	-0.506	-0.244	-0.367	0.667	0.551	0.035	-0.296	-0.078	-0.986
LRP1	4035	0.436	0.021	0.085	-0.121	-0.055	-0.084	0.093	-0.146	-0.239	-0.295	-0.041	0.238	-0.155	-0.174	0.156	0.306	-0.026
LRP11	84918	0.349	0.097	-0.101	-0.191	-0.214	0.088	-0.013	0.056	0.2	-0.285	0.174	0.024	0.026	-0.345	0.116	0.061	-0.045
LRRC25	126364	0.121	0.333	-0.049	-0.068	0.463	0.411	0.339	-0.064	-0.049	-0.323	0.245	-0.068	0.497	-0.91	-0.449	-0.337	-0.092
LRRC4B	94030	0.195	0.07	-0.144	-0.345	0.134	0.08	-0.349	-0.06	0.121	-0.148	0.563	0.001	0.21	-0.045	0.045	-0.038	-0.291
LRRFIP2	9209	-0.141	-0.159	-1.356	0.666	-0.098	1.254	-0.562	-0.851	0.982	1.514	-0.351	-0.15	0.215	-0.455	-0.788	-0.402	0.683
LRRN1	57633	0.19	0.174	-0.042	-0.574	-0.176	0.276	-0.045	-0.417	0.086	-0.868	0.622	0.409	0.022	-0.259	0.471	0.108	0.023
LRRN4	164312	0.547	-0.27	0.731	-1.274	-0.605	-0.379	-0.137	0.063	0.422	1.21	0.194	0.792	0.667	-0.581	0.1	-0.665	-0.817
LSAMP	4045	0.234	0.332	-0.156	-0.264	-0.217	-0.163	-0.105	-0.278	0.157	0.026	0.548	0.236	0.282	-0.224	0.037	0.082	-0.529
LSM7	51690	-1.164	-0.207	-0.287	0.78	0.082	0.144	-0.314	-0.083	0.364	0.481	-0.005	-0.451	0.502	0.949	0.11	-0.696	-0.207
LSR	51599	0.385	0.225	0.499	0.292	0.081	0.238	0.113	0.025	-0.092	-0.17	0.063	-0.082	0.09	-0.509	-0.672	-0.231	-0.253
LTA4H	4048	-0.136	0.079	0.166	0.388	0.115	-0.041	0.269	0.204	-0.121	-0.366	-0.115	0.558	-0.437	0.281	-0.519	0.076	-0.399
LTBP1	4052	-0.542	-0.414	-0.329	0.263	0.226	0.435	-0.458	0.079	0.438	0.937	-0.324	-0.17	-0.068	-0.314	0.108	-0.405	0.538
LTBP2	4053	0.055	0.262	0.228	-0.102	-0.035	-0.162	-0.264	-0.219	0.083	-0.127	0.387	0.408	0.174	-0.46	-0.112	-0.064	-0.051
LTBP4	8425	0.553	-0.131	0.726	0.422	0.431	-0.192	-0.264	-0.214	-0.885	-0.241	0.3	0.023	0.845	-0.133	-0.798	-0.185	-0.256
LTF	4057	0.415	-0.17	-0.034	0.292	-0.126	-0.485	-0.319	0.04	-0.093	-0.45	0.043	0.285	0.48	-0.502	-0.249	0.05	0.823
LUM	4060	0.033	0.268	0.12	-0.522	-0.024	0.225	-0.054	-0.09	0.038	-0.278	0.529	-0.051	0.663	-0.397	0.135	-0.105	-0.49
LXN	56925	-0.066	-0.833	0.525	0.767	-0.04	0.05	-0.194	0.273	-1.002	-0.816	-0.486	-0.888	0.723	2.285	-0.504	0.237	-0.031
LY6G6F	259215	-1.731	-0.495	-1.006	1.186	0.088	-0.091	-0.099	0.215	0.956	1.402	-0.552	-0.552	0.138	-0.31	0.474	-0.091	0.467
LYNX1	66004	0.117	-0.038	0.345	0.002	0.138	-0.724	-0.167	-0.455	0.211	-0.309	0.207	0.576	0.166	0.378	-0.294	-0.141	-0.014
LYPD3	27076	0.011	0.418	0.255	-0.274	-0.454	-0.048	0.053	-0.241	0.421	-0.722	0.265	-0.542	0.661	-0.26	0.3	0.147	0.011
LYVE1	10894	-0.026	0.759	-0.794	-0.706	0.394	0.371	-0.597	0.443	-0.136	-0.076	0.573	0.029	0.29	-0.126	0.12	0.265	-0.785
LYZ	4069	-0.072	0.047	0.183	0.188	0.249	-0.368	-0.498	-0.493	-0.564	-0.213	0.112	0.849	0.54	-0.298	-0.216	0.012	0.543
LZIC	84328	-1.262	-0.225	-0.338	0.855	0.368	0.168	-0.384	0.062	0.402	0.6	-0.191	-0.549	0.805	0.841	-0.397	-0.823	0.07
MADCAM1	8174	0.297	-0.84	0.399	-0.006	-0.191	0.036	0.62	0.153	-0.002	0.373	-0.416	1.22	-0.241	-0.365	-0.092	0.031	-0.974
MAN1A1	4121	0.495	-0.57	0.516	0.035	0.2	-0.204	0.109	-0.399	-0.01	-0.28	-0.026	0.442	-0.465	-0.32	0.082	0.49	-0.096
MAN1C1	57134	0.109	-0.249	0.405	-0.051	0.08	-0.186	-0.088	-0.254	0.145	-0.501	0.369	0.332	0.072	-0.113	-0.035	0.166	-0.199
MAN2A1	4124	0.528	0.4	-0.08	-0.092	0.137	0.016	0.211	-0.494	-0.128	-0.411	-0.179	0.269	-0.518	0.114	0.095	0.049	0.084
MAN2A2	4122	0.144	-0.15	0.106	-0.274	0.374	0.103	0.03	0.016	0.105	-0.215	0.542	0.027	-0.168	-0.058	-0.026	-0.161	-0.395
MAN2B1	4125	0.614	0.37	0.35	-0.15	-0.465	0.664	-0.385	0.371	-0.284	0.229	-0.135	-0.301	-0.136	0.342	-0.072	-0.723	-0.29
MAN2B2	23324	0.18	1.516	-0.824	-0.3	-0.751	0.578	1.06	1.098	0.291	-0.082	0.684	-0.272	-0.471	-0.884	-0.287	-0.844	-0.69
MANBA	4126	0.21	0.073	-0.08	-0.162	-0.035	0.344	0.095	0.172	0.12	-0.241	0.302	0.408	-0.404	-0.129	-0.191	-0.009	-0.473
MANF	7873	-2.036	-0.561	-1.082	1.203	0.626	0.732	-0.375	0.355	1.07	1.58	-0.25	-0.924	0.469	-0.557	0.507	-0.884	0.124
MANSC1	54682	0.17	-0.036	0.449	-0.315	-0.159	0.053	-0.479	0.019	-0.144	-0.081	0.274	0.144	0.291	-0.393	0.337	-0.044	-0.086
MAP1B	4131	0.399	0.055	-0.378	-0.204	0.082	-0.226	-0.591	-0.188	0.509	-0.161	0.606	0.247	0.073	-0.02	0.109	-0.324	0.013
MAPRE1	22919	-1.473	-0.475	-0.93	0.831	0.238	0.649	-0.548	0.014	1.024	1.324	-0.431	-0.812	-0.266	0.541	0.332	-0.245	0.226
MAPRE2	10982	-2.182	-0.353	-1.201	1.197	0.493	0.754	-0.383	0.287	1.276	1.647	-0.066	-0.365	-0.417	-0.492	0.584	-0.703	-0.076
MARCO	8685	-0.263	0.411	0.227	-0.653	-0.044	-0.156	-0.509	0.512	-0.194	-0.325	0.15	-0.133	0.93	-0.075	0.303	0.813	-0.993
MASP1	5648	-0.08	-0.632	-0.048	-0.47	0.057	-0.402	0.351	0.049	-0.514	-0.033	-0.222	-0.477	0.36	0.157	1.044	0.477	0.383
MASP2	10747	0.106	-0.44	0.284	-0.278	0.017	-0.499	-0.803	0.095	-0.06	-0.127	-0.383	0.006	0.009	0.324	0.53	0.668	0.552
MAT2A	4144	0.024	-0.206	0.539	0.198	0.22	-0.098	-0.013	0.472	-0.037	-0.403	-0.052	-0.076	0.022	0.604	-0.405	-0.466	-0.322
MATN2	4147	0.315	0.01	0.217	0.041	-0.382	0.115	0.179	-0.175	-0.239	-0.288	0.189	0.357	-0.026	0.097	-0.239	0.213	-0.383
MB	4151	-0.109	0.191	0.246	-0.589	0.407	-0.066	-0.339	0.153	0.096	-0.679	-0.009	0.233	0.545	-0.515	-0.294	0.351	0.377
MBL2	4153	0.097	0.122	-1.024	2.118	1.608	0.005	-0.482	-1.486	-0.136	0.34	-2.192	-1.175	-0.845	0.795	0.935	0.521	0.8
MCAM	4162	0.118	0.329	-0.182	-0.63	-0.029	-0.086	-0.422	-0.264	0.067	-0.197	0.574	0.245	0.439	-0.074	-0.14	0.263	-0.011
MDH1	4190	-0.54	-0.421	0.251	0.558	0.004	0.119	-0.211	0.306	-0.044	0.208	-0.304	-0.125	-0.333	1.024	-0.475	-0.036	0.017
MEGF8	1954	0.15	0.076	0.042	0.266	0.207	0.367	-0.06	-0.139	-0.391	-0.115	-0.188	0.089	0.074	0.026	-0.111	-0.237	-0.055
MENT	NA	0.287	0.381	-0.074	-0.634	0.108	-0.369	-0.584	-0.24	-0.054	-0.026	0.465	0.416	0.241	0.367	-0.175	-0.247	0.138
MEPE	56955	0.449	0.222	-0.175	0.044	-0.144	-0.393	-0.679	-0.585	0.595	-0.546	0.6	0.134	0.318	-0.129	0.484	-0.061	-0.134
MERTK	10461	-0.084	0.538	-0.281	-0.083	0.095	-0.095	-0.033	0.02	-0.176	0.013	0.532	0.083	0.584	-0.704	0.169	-0.54	-0.037
MESDC2	NA	-0.643	-0.053	-0.455	0.905	0.378	0.428	-0.492	-0.204	0.435	0.493	0.152	-0.026	0.315	-0.485	-0.086	-0.575	-0.086
MET	4233	0.4	-0.131	-0.075	0.05	0.295	-0.372	-0.303	-0.357	-0.104	0.017	0.076	0.157	0.26	-0.03	0.084	-0.043	0.075
MFI2	NA	0.112	0.236	-0.121	-0.268	-0.187	0.012	-0.073	0.303	0.04	-0.325	0.596	-0.385	0.149	0.087	-0.205	0.156	-0.128
MGAM	8972	0.472	0.524	0.07	0.092	0.317	0.148	-1.551	0.086	0.573	-0.808	0.973	0.256	1.036	-0.323	-1.296	-0.573	0.003
MGAT1	4245	0.138	-0.123	0.575	-0.184	0.326	-0.252	0.054	-0.367	0.091	-0.024	0.502	0.332	-0.493	-0.298	-0.387	0.099	0.013
MGP	4256	0.4	-0.242	0.398	0.32	0.581	0.301	-0.382	0.101	-0.072	-0.225	0.455	0.211	0.342	-0.418	-0.692	-0.805	-0.275
MIA3	375056	0.235	0.11	-0.296	-0.034	0.209	-0.496	0.299	-0.051	0.24	0.313	0.773	-0.253	0.596	-0.812	-0.051	-0.573	-0.208
MIF	4282	-0.573	-0.726	-0.265	0.875	0.116	0.116	-0.169	0.077	0.579	0.657	-0.45	-0.786	0.127	0.975	0.114	-0.702	0.033
MINPP1	9562	0.059	-0.26	0.213	-0.386	0.179	0.024	0.28	-0.363	0.311	-0.078	0.185	0.462	-0.473	-0.218	0.045	0.087	-0.069
MLEC	9761	-0.033	0.129	-0.075	0.152	0.227	-0.077	-0.401	-0.232	-0.036	-0.033	0.251	0.298	0.569	-0.133	-0.368	-0.137	-0.101
MME	4311	0.358	0.072	0.066	1.529	0.323	0.114	0.319	-0.752	-0.295	-0.855	0.152	0.596	0.268	-0.468	-0.679	-0.51	-0.239
MMP14	4323	0.887	-0.65	0.067	0.476	0.098	-0.509	0.082	-0.345	-0.47	-0.049	-0.017	0.615	0.414	-0.034	-0.473	0.101	-0.193
MMP2	4313	0.272	-0.118	-0.353	-0.602	-0.368	-0.416	0.011	-0.08	-0.337	0.162	-0.017	0.348	-0.312	0.261	0.648	1.528	-0.626
MMP9	4318	0.857	-0.842	0.191	0.455	-0.061	-0.224	1.369	0.455	-0.667	-0.843	0.126	-0.311	-0.931	-0.059	-0.65	0.46	0.674
MMRN1	22915	0.011	-0.338	-0.406	-0.059	-0.441	0.015	-0.251	-0.015	0.699	0.231	0.82	-0.387	-0.044	-0.403	0.191	0.194	0.181
MMRN2	79812	-0.493	-0.266	-0.155	-0.287	0.438	0.117	-0.084	0.493	-0.217	-0.433	0.792	-0.049	0.346	-0.154	0.202	0.034	-0.285
MOB1B	92597	0.329	-0.405	0.053	0.443	0.401	0.109	0.111	-0.111	0.319	0.097	-0.124	0.21	-0.772	-0.063	-0.068	-0.705	0.176
MPP1	4354	-1.404	-0.529	-0.216	0.556	0.62	0.249	-0.716	-0.245	0.715	1.008	-0.404	-0.478	-0.114	0.104	-0.025	0.471	0.408
MPST	4357	-0.809	-0.506	0.389	0.404	0.053	-0.158	-0.172	0.219	-0.073	0.231	-0.468	-0.41	0.103	1.86	-0.288	-0.23	-0.143
MRC1	4360	0.193	0.093	0.237	-0.094	-0.001	0.171	-0.128	0.02	0.055	-0.45	0.327	0.182	0.468	-0.152	-0.007	-0.586	-0.327
MRC2	9902	0.078	0.24	0.045	-0.139	0.043	0.206	0.014	-0.25	-0.376	-0.081	-0.107	-0.083	0.857	0.047	-0.248	0.117	-0.365
MRPS14	63931	-0.16	1.338	-2.108	-0.261	0.195	0.043	-0.086	0.11	0.265	0.123	1.227	-2.053	1.198	-0.98	0.397	0.348	0.403
MSLN	10232	-0.389	0.199	0.117	-0.323	0.68	-0.254	-0.516	-0.319	0.27	0.268	-1.06	1.069	0.51	-0.52	0.149	0.472	-0.352
MSN	4478	-0.623	-0.115	-0.327	0.751	0.246	0.358	-0.254	0.049	0.422	0.68	-0.407	-0.244	-0.175	-0.174	-0.023	-0.395	0.232
MST1	4485	0.389	0.349	-0.301	-0.11	-0.054	0.14	0.403	0.045	-0.327	-0.11	-0.343	-0.297	0.199	-0.046	0.276	0.199	-0.411
MSTN	2660	0.163	-0.277	0.453	-0.38	-0.285	0.173	-0.262	0.092	0.019	0.059	0.746	0.01	0.126	0.16	0.186	-0.257	-0.727
MTAP	4507	-0.06	-0.617	-0.19	0.113	-0.048	-0.153	-0.144	-0.09	0.257	0.258	-0.52	-0.056	-0.267	0.792	0.297	0.594	-0.166
MTPN	136319	-1.768	-0.674	-0.722	1.182	0.453	0.575	-0.177	0.226	0.711	1.188	-0.332	-0.813	0.346	0.482	-0.066	-0.822	0.212
MUC1	4582	0.089	0.084	0.352	-0.377	0.487	-0.289	-0.467	0.213	-0.162	-0.35	0.112	0.628	0.512	-0.526	0.437	-0.77	0.027
MUCL1	118430	0.005	0.158	-0.608	0.122	-0.023	-0.817	-0.197	-0.223	-0.153	-0.425	0.163	0.426	1.073	-0.046	-0.366	0.56	0.349
MXRA5	25878	0.704	0.089	0.304	0.104	0.373	-0.067	0.201	-0.272	0.054	-0.452	0.113	-0.308	0.534	-0.526	-0.146	-0.214	-0.493
MXRA8	54587	0.273	-0.036	-0.022	-0.05	-0.148	-0.165	-0.19	-0.29	0.055	-0.086	0.461	0.266	0.466	-0.472	-0.169	0.327	-0.22
MYCL	4610	0.149	0.233	-0.603	-0.371	-0.062	-0.034	0.293	-0.345	-0.09	-0.068	0.427	-0.116	0.038	-0.538	0.429	0.548	0.111
MYDGF	56005	-0.781	-0.276	-0.245	0.916	0.383	0.772	-0.227	-0.004	0.659	1.078	-0.052	-0.501	0.067	-0.719	-0.264	-0.648	-0.157
MYH1	4619	-0.063	-0.491	-0.216	0.03	0.687	-0.28	0.286	-0.74	-0.494	-0.494	-0.628	1.38	1.728	0.708	-1.166	0.148	-0.396
MYH3	4621	-0.04	0.194	-0.251	-0.006	0.113	-0.291	-0.406	0.174	-0.135	-0.514	0.526	-0.173	0.387	-0.148	0.795	-0.028	-0.198
MYH4	4622	-0.001	0.092	-0.18	0.2	0.087	-0.171	0.073	-0.317	-0.045	0.164	0.001	0.551	0.525	0.115	-0.285	-0.334	-0.476
MYH7	4625	-0.133	0.569	0.025	0.373	-0.069	-0.285	-0.581	-0.247	-0.255	-0.271	0.184	0.109	0.385	-0.21	-0.062	-0.193	0.662
MYH8	4626	0.272	-0.039	-0.499	-0.012	0.387	-0.232	-0.42	-0.379	-0.049	-0.413	0.322	0.21	1.019	-0.637	0.141	0.479	-0.149
MYH9	4627	-0.287	-0.112	-0.204	-0.197	0.211	0.202	-0.605	0.866	0.087	0.021	0.272	0.144	0.121	-0.063	0.25	-0.741	0.035
